user_name,package_name,event,days,star_user,fork_user,contributor_user,issue_new_user,pl_new_user,release_user,release_package,cve,is_web,has_cve,star_user_log10,fork_user_log10,contributor_user_log10,issue_new_user_log10,pl_new_user_log10,release_user_log10,release_package_log10
iddocohen/vcoclient,aaa_numpy/numpy,1,408,1,2,3,0,3,0,2,0,0,0,0.301029996,0.477121255,0.602059991,0,0.602059991,0,0.477121255
iddocohen/vcoclient,pandas-dev/pandas,0,628,1,2,3,0,3,0,2,0,0,0,0.301029996,0.477121255,0.602059991,0,0.602059991,0,0.477121255
ig-python/ig-markets-api-python-library,pandas-dev/pandas,1,170,16,12,17,5,8,1,3,0,0,0,1.230448921,1.113943352,1.255272505,0.77815125,0.954242509,0.301029996,0.602059991
ig-python/ig-markets-api-python-library,pandas-dev/pandas,1,7,13,7,26,11,7,3,4,0,0,0,1.146128036,0.903089987,1.431363764,1.079181246,0.903089987,0.602059991,0.698970004
inside-track/dtspec,aaa_numpy/numpy,0,560,9,1,4,2,7,2,2,0,0,0,1,0.301029996,0.698970004,0.477121255,0.903089987,0.477121255,0.477121255
inside-track/dtspec,aaa_numpy/numpy,0,600,9,1,4,2,7,2,2,0,0,0,1,0.301029996,0.698970004,0.477121255,0.903089987,0.477121255,0.477121255
inside-track/dtspec,pandas-dev/pandas,0,547,6,1,2,0,8,1,4,0,0,0,0.84509804,0.301029996,0.477121255,0,0.954242509,0.301029996,0.698970004
inside-track/dtspec,pandas-dev/pandas,0,557,9,1,4,2,7,2,2,0,0,0,1,0.301029996,0.698970004,0.477121255,0.903089987,0.477121255,0.477121255
inside-track/dtspec,pandas-dev/pandas,1,15,9,1,4,2,7,2,2,0,0,0,1,0.301029996,0.698970004,0.477121255,0.903089987,0.477121255,0.477121255
ipinfo/python,aio-libs/aiohttp,0,102,23,8,7,2,5,1,2,0,0,0,1.380211242,0.954242509,0.903089987,0.477121255,0.77815125,0.301029996,0.477121255
ipinfo/python,aio-libs/aiohttp,1,28,30,4,11,6,2,2,5,0,0,0,1.491361694,0.698970004,1.079181246,0.84509804,0.477121255,0.477121255,0.77815125
ipinfo/python,aio-libs/aiohttp,1,295,18,4,2,0,0,0,2,1,0,1,1.278753601,0.698970004,0.477121255,0,0,0,0.477121255
